Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,879.820007,909.030029,879.820007,909.030029,909.030029,1229200000
2003-01-03,909.030029,911.250000,903.070007,908.590027,908.590027,1130800000
2003-01-06,908.590027,931.770020,908.590027,929.010010,929.010010,1435900000
2003-01-07,929.010010,930.809998,919.929993,922.929993,922.929993,1545200000
2003-01-08,922.929993,922.929993,908.320007,909.929993,909.929993,1467600000
2003-01-09,909.929993,928.309998,909.929993,927.570007,927.570007,1560300000
2003-01-10,927.580017,932.890015,917.659973,927.570007,927.570007,1485400000
2003-01-13,927.570007,935.049988,922.049988,926.260010,926.260010,1396300000
2003-01-14,926.260010,931.659973,921.719971,931.659973,931.659973,1379400000
2003-01-15,931.659973,932.590027,916.700012,918.219971,918.219971,1432100000
2003-01-16,918.219971,926.030029,911.979980,914.599976,914.599976,1534600000
2003-01-17,914.599976,914.599976,899.020020,901.780029,901.780029,1358200000
2003-01-21,901.780029,906.000000,887.619995,887.619995,887.619995,1335200000
2003-01-22,887.619995,889.739990,877.640015,878.359985,878.359985,1560800000
2003-01-23,878.359985,890.250000,876.890015,887.340027,887.340027,1744550000
2003-01-24,887.340027,887.340027,859.710022,861.400024,861.400024,1574800000
2003-01-27,861.400024,863.950012,844.250000,847.479980,847.479980,1435900000
2003-01-28,847.479980,860.760010,847.479980,858.539978,858.539978,1459100000
2003-01-29,858.539978,868.719971,845.859985,864.359985,864.359985,1595400000
2003-01-30,864.359985,865.479980,843.739990,844.609985,844.609985,1510300000
2003-01-31,844.609985,858.330017,840.340027,855.700012,855.700012,1578530000
2003-02-03,855.700012,864.640015,855.700012,860.320007,860.320007,1258500000
2003-02-04,860.320007,860.320007,840.190002,848.200012,848.200012,1451600000
2003-02-05,848.200012,861.630005,842.109985,843.590027,843.590027,1450800000
2003-02-06,843.590027,844.229980,833.250000,838.150024,838.150024,1430900000
2003-02-07,838.150024,845.729980,826.700012,829.690002,829.690002,1276800000
2003-02-10,829.690002,837.159973,823.530029,835.969971,835.969971,1238200000
2003-02-11,835.969971,843.020020,825.090027,829.200012,829.200012,1307000000
2003-02-12,829.200012,832.119995,818.489990,818.679993,818.679993,1260500000
2003-02-13,818.679993,821.250000,806.289978,817.369995,817.369995,1489300000
2003-02-14,817.369995,834.890015,815.030029,834.890015,834.890015,1404600000
2003-02-18,834.890015,852.869995,834.890015,851.169983,851.169983,1250800000
2003-02-19,851.169983,851.169983,838.789978,845.130005,845.130005,1075600000
2003-02-20,845.130005,849.369995,836.559998,837.099976,837.099976,1194100000
2003-02-21,837.099976,852.280029,831.479980,848.169983,848.169983,1398200000
2003-02-24,848.169983,848.169983,832.159973,832.580017,832.580017,1229200000
2003-02-25,832.580017,839.549988,818.539978,838.570007,838.570007,1483700000
2003-02-26,838.570007,840.099976,826.679993,827.549988,827.549988,1374400000
2003-02-27,827.549988,842.190002,827.549988,837.280029,837.280029,1287800000
2003-02-28,837.280029,847.000000,837.280029,841.150024,841.150024,1373300000
2003-03-03,841.150024,852.340027,832.739990,834.809998,834.809998,1208900000
2003-03-04,834.809998,835.429993,821.960022,821.989990,821.989990,1256600000
2003-03-05,821.989990,829.869995,819.000000,829.849976,829.849976,1332700000
2003-03-06,829.849976,829.849976,819.849976,822.099976,822.099976,1299200000
2003-03-07,822.099976,829.549988,811.229980,828.890015,828.890015,1368500000
2003-03-10,828.890015,828.890015,806.570007,807.479980,807.479980,1255000000
2003-03-11,807.479980,814.250000,800.299988,800.729980,800.729980,1427700000
2003-03-12,800.729980,804.190002,788.900024,804.190002,804.190002,1620000000
2003-03-13,804.190002,832.020020,804.190002,831.900024,831.900024,1816300000
2003-03-14,831.890015,841.390015,828.260010,833.270020,833.270020,1541900000
